2026-01-31 17:19:35 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-01-31 17:19:35 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-01-31 17:19:35 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2026-01-31 17:19:35 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2026-01-31 17:19:35 [restartedMain] INFO  com.reginyuan.job.JobApplication - Started JobApplication in 0.681 seconds (JVM running for 12988.183)
2026-01-31 17:19:35 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-01-31 17:20:00 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2026-01-31 17:20:00 [Thread-15] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:00 [Thread-15] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-01-31 17:20:00 [Thread-15] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:00 [Thread-15] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:00 [restartedMain] INFO  com.reginyuan.job.JobApplication - Starting JobApplication using Java 1.8.0_472 on ReginYuan with PID 24416 (D:\code\java\job\target\classes started by Administrator in D:\code\java\job)
2026-01-31 17:20:00 [restartedMain] INFO  com.reginyuan.job.JobApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-31 17:20:01 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2026-01-31 17:20:01 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:01 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-31 17:20:01 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.69]
2026-01-31 17:20:01 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-31 17:20:01 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 221 ms
2026-01-31 17:20:01 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-01-31 17:20:01 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-01-31 17:20:01 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:01 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2026-01-31 17:20:01 [restartedMain] INFO  com.reginyuan.job.JobApplication - Started JobApplication in 0.528 seconds (JVM running for 13014.165)
2026-01-31 17:20:01 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-01-31 17:20:19 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 1 deletion, 0 modifications)
2026-01-31 17:20:19 [Thread-19] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:19 [Thread-19] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-01-31 17:20:19 [Thread-19] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:19 [Thread-19] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:19 [restartedMain] INFO  com.reginyuan.job.JobApplication - Starting JobApplication using Java 1.8.0_472 on ReginYuan with PID 24416 (D:\code\java\job\target\classes started by Administrator in D:\code\java\job)
2026-01-31 17:20:19 [restartedMain] INFO  com.reginyuan.job.JobApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-31 17:20:19 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2026-01-31 17:20:19 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:19 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-31 17:20:19 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.69]
2026-01-31 17:20:19 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-31 17:20:19 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 322 ms
2026-01-31 17:20:19 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-01-31 17:20:19 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-01-31 17:20:19 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:19 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2026-01-31 17:20:19 [restartedMain] INFO  com.reginyuan.job.JobApplication - Started JobApplication in 0.536 seconds (JVM running for 13032.679)
2026-01-31 17:20:19 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-01-31 17:20:21 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2026-01-31 17:20:21 [Thread-23] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:21 [Thread-23] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-01-31 17:20:21 [Thread-23] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:21 [Thread-23] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:21 [restartedMain] INFO  com.reginyuan.job.JobApplication - Starting JobApplication using Java 1.8.0_472 on ReginYuan with PID 24416 (D:\code\java\job\target\classes started by Administrator in D:\code\java\job)
2026-01-31 17:20:21 [restartedMain] INFO  com.reginyuan.job.JobApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-31 17:20:21 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2026-01-31 17:20:21 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:21 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-31 17:20:21 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.69]
2026-01-31 17:20:21 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-31 17:20:21 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 173 ms
2026-01-31 17:20:21 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-01-31 17:20:21 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-01-31 17:20:21 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2026-01-31 17:20:21 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2026-01-31 17:20:22 [restartedMain] INFO  com.reginyuan.job.JobApplication - Started JobApplication in 0.342 seconds (JVM running for 13034.713)
2026-01-31 17:20:22 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-01-31 17:23:18 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 1 deletion, 0 modifications)
2026-01-31 17:23:19 [Thread-27] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:23:19 [Thread-27] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-01-31 17:23:19 [Thread-27] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8090"]
2026-01-31 17:23:19 [Thread-27] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8090"]
2026-01-31 17:23:19 [restartedMain] INFO  com.reginyuan.job.JobApplication - Starting JobApplication using Java 1.8.0_472 on ReginYuan with PID 24416 (D:\code\java\job\target\classes started by Administrator in D:\code\java\job)
2026-01-31 17:23:19 [restartedMain] INFO  com.reginyuan.job.JobApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-31 17:23:19 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2026-01-31 17:23:19 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:23:19 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-31 17:23:19 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.69]
2026-01-31 17:23:19 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-31 17:23:19 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 380 ms
2026-01-31 17:23:19 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-01-31 17:23:19 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-01-31 17:23:20 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2026-01-31 17:23:20 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2026-01-31 17:23:20 [restartedMain] INFO  com.reginyuan.job.JobApplication - Started JobApplication in 0.814 seconds (JVM running for 13212.746)
2026-01-31 17:23:20 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-01-31 17:23:21 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2026-01-31 17:23:21 [Thread-31] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8090"]
2026-01-31 17:23:21 [Thread-31] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2026-01-31 17:23:21 [Thread-31] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8090"]
2026-01-31 17:23:21 [Thread-31] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8090"]
2026-01-31 17:23:21 [restartedMain] INFO  com.reginyuan.job.JobApplication - Starting JobApplication using Java 1.8.0_472 on ReginYuan with PID 24416 (D:\code\java\job\target\classes started by Administrator in D:\code\java\job)
